date,home_team,away_team,game_id,url,stage,league,season
2023-12-24 13:00:00,Wolves,Chelsea,1729511,https://www.whoscored.com/Matches/1729511/Live/England-Premier-League-2023-2024-Wolves-Chelsea,,ENG-Premier League,2324
2023-12-26 12:30:00,Newcastle,Nottingham Forest,1729520,https://www.whoscored.com/Matches/1729520/Live/England-Premier-League-2023-2024-Newcastle-Nottingham-Forest,,ENG-Premier League,2324
2023-12-26 15:00:00,Sheffield United,Luton,1729521,https://www.whoscored.com/Matches/1729521/Live/England-Premier-League-2023-2024-Sheffield-United-Luton,,ENG-Premier League,2324
2023-12-26 15:00:00,Bournemouth,Fulham,1729512,https://www.whoscored.com/Matches/1729512/Live/England-Premier-League-2023-2024-Bournemouth-Fulham,,ENG-Premier League,2324
2023-12-26 17:30:00,Burnley,Liverpool,1729516,https://www.whoscored.com/Matches/1729516/Live/England-Premier-League-2023-2024-Burnley-Liverpool,,ENG-Premier League,2324
2023-12-26 20:00:00,Manchester United,Aston Villa,1729519,https://www.whoscored.com/Matches/1729519/Live/England-Premier-League-2023-2024-Manchester-United-Aston-Villa,,ENG-Premier League,2324
2023-12-27 19:30:00,Chelsea,Crystal Palace,1729517,https://www.whoscored.com/Matches/1729517/Live/England-Premier-League-2023-2024-Chelsea-Crystal-Palace,,ENG-Premier League,2324
2023-12-27 19:30:00,Brentford,Wolves,1729514,https://www.whoscored.com/Matches/1729514/Live/England-Premier-League-2023-2024-Brentford-Wolves,,ENG-Premier League,2324
2023-12-27 20:15:00,Everton,Manchester City,1729518,https://www.whoscored.com/Matches/1729518/Live/England-Premier-League-2023-2024-Everton-Manchester-City,,ENG-Premier League,2324
2023-12-28 19:30:00,Brighton,Tottenham,1729515,https://www.whoscored.com/Matches/1729515/Show/England-Premier-League-2023-2024-Brighton-Tottenham,,ENG-Premier League,2324
2023-12-28 20:15:00,Arsenal,West Ham,1729513,https://www.whoscored.com/Matches/1729513/Show/England-Premier-League-2023-2024-Arsenal-West-Ham,,ENG-Premier League,2324
2023-12-30 12:30:00,Luton,Chelsea,1729526,https://www.whoscored.com/Matches/1729526/Show/England-Premier-League-2023-2024-Luton-Chelsea,,ENG-Premier League,2324
2023-12-30 15:00:00,Manchester City,Sheffield United,1729527,https://www.whoscored.com/Matches/1729527/Show/England-Premier-League-2023-2024-Manchester-City-Sheffield-United,,ENG-Premier League,2324
2023-12-30 15:00:00,Aston Villa,Burnley,1729522,https://www.whoscored.com/Matches/1729522/Show/England-Premier-League-2023-2024-Aston-Villa-Burnley,,ENG-Premier League,2324
2023-12-30 15:00:00,Crystal Palace,Brentford,1729523,https://www.whoscored.com/Matches/1729523/Show/England-Premier-League-2023-2024-Crystal-Palace-Brentford,,ENG-Premier League,2324
2023-12-30 15:00:00,Wolves,Everton,1729531,https://www.whoscored.com/Matches/1729531/Show/England-Premier-League-2023-2024-Wolves-Everton,,ENG-Premier League,2324
2023-12-30 17:30:00,Nottingham Forest,Manchester United,1729528,https://www.whoscored.com/Matches/1729528/Show/England-Premier-League-2023-2024-Nottingham-Forest-Manchester-United,,ENG-Premier League,2324
2023-12-31 14:00:00,Tottenham,Bournemouth,1729529,https://www.whoscored.com/Matches/1729529/Show/England-Premier-League-2023-2024-Tottenham-Bournemouth,,ENG-Premier League,2324
2023-12-31 14:00:00,Fulham,Arsenal,1729524,https://www.whoscored.com/Matches/1729524/Show/England-Premier-League-2023-2024-Fulham-Arsenal,,ENG-Premier League,2324
2023-12-02 15:00:00,Arsenal,Wolves,1729546,https://www.whoscored.com/Matches/1729546/Live/England-Premier-League-2023-2024-Arsenal-Wolves,,ENG-Premier League,2324
2023-12-02 15:00:00,Brentford,Luton,1729547,https://www.whoscored.com/Matches/1729547/Live/England-Premier-League-2023-2024-Brentford-Luton,,ENG-Premier League,2324
2023-12-02 15:00:00,Burnley,Sheffield United,1729548,https://www.whoscored.com/Matches/1729548/Live/England-Premier-League-2023-2024-Burnley-Sheffield-United,,ENG-Premier League,2324
2023-12-02 17:30:00,Nottingham Forest,Everton,1729553,https://www.whoscored.com/Matches/1729553/Live/England-Premier-League-2023-2024-Nottingham-Forest-Everton,,ENG-Premier League,2324
2023-12-02 20:00:00,Newcastle,Manchester United,1729552,https://www.whoscored.com/Matches/1729552/Live/England-Premier-League-2023-2024-Newcastle-Manchester-United,,ENG-Premier League,2324
2023-12-03 14:00:00,Bournemouth,Aston Villa,1729545,https://www.whoscored.com/Matches/1729545/Live/England-Premier-League-2023-2024-Bournemouth-Aston-Villa,,ENG-Premier League,2324
